candidate_id,expression_hash,run,source_round,generator_arm,generator_route,source_generator,source_lane,factor_lane,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,phase3ca_proxy_quality,proxy_quality,aligned_ic_mean,spread_hit_rate,mean_one_way_turnover,fields,expression,train_reward,train_day_sortino,train_minute_sortino,train_worst_horizon_day_sortino,train_median_horizon_day_sortino,train_horizon_sortino_stdev,train_day_mcmc_p25,train_day_mcmc_prob_gt_0,train_mean_one_way_turnover,validation_day_sortino,validation_day_mcmc_prob_gt_0,holdout_day_sortino,holdout_day_mcmc_prob_gt_0,inherited_blockers,train_reward_blockers,train_reward_decision,seed,round_id,parent_id,mutation_type,blocker_flags,validation_mcmc_prob_gt_0,holdout_mcmc_prob_gt_0,parallel_chunk_id
phase3cp_03445,f3bc9698450d8d8b0e9781c3,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,typed_lagged_context::coverage_guarded_context::context_inverted,generic_price_volume,cross_sectional+state_transform,none,multi_or_unknown,medium_turnover,4f8daa5f9d82a2f649,5c6abc41a1601e3e22,6e81ba755033,0.21757953,0.03686547,0.03686547,0.55161166,0.58,ctx_ths_hot_last_price,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_price,60,0.8)))",0.37966456,0.476396,0.476396,0.22115462,0.36111719,0.08332383,0.31179054,0.99333333,0.02161538,-0.29240887,0.075,0.03383056,0.51833333,,,TRAIN_REWARD_FOLLOWUP_READY,,challenger_repair/round1_scheduler_controlled,,,,0.075,0.51833333,4
phase3cp_03454,d414a051a71e40edc9e2896e,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,typed_lagged_context::coverage_guarded_context::context_inverted,generic_price_volume,cross_sectional+state_transform,none,multi_or_unknown,medium_turnover,11658d0a9e54a07880,281c904ef78060d605,c82c5e00a913,0.21757953,0.03686547,0.03686547,0.55161166,0.58,ctx_ths_hot_last_pct,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_pct,60,0.8)))",0.33203298,0.4100467,0.4100467,0.18618746,0.26448638,0.16672507,0.29980217,0.99833333,0.03816654,-0.25258872,0.09666667,0.99761096,0.995,,,TRAIN_REWARD_FOLLOWUP_READY,,challenger_repair/round1_scheduler_controlled,,,,0.09666667,0.995,3
phase3cp_03570,b654a78fc6d3f92c0a90f659,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,rx_intraday_return::inverted,intraday_return,cross_sectional+time_series+state_transform,none,multi_or_unknown,medium_turnover,e93a970707fca19a1d,f90e92938d1f4351ed,9365c2e89174,0.22180826,0.03810178,0.03810178,0.55334249,0.58,intraday_ret_from_open,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,2))))",0.25823371,0.56880554,0.56880554,0.1425318,0.54497756,0.22265286,0.42929157,1,0.7848008,0.14086095,0.705,0.1851976,0.71333333,,extreme_turnover,HOLD_TRAIN_REWARD,,challenger_repair/round1_scheduler_controlled,,,,0.705,0.71333333,5
phase3cp_03569,540228a160f1008d92afceeb,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,rx_intraday_return::inverted,intraday_return,cross_sectional+time_series+state_transform,none,multi_or_unknown,medium_turnover,e93a970707fca19a1d,f90e92938d1f4351ed,9365c2e89174,0.21941526,0.03740216,0.03740216,0.55236302,0.58,intraday_ret_from_open,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,3))))",0.02030008,0.32713718,0.32713718,-0.09281372,0.34058528,0.23649454,0.19490344,0.98,0.78387017,0.43546623,0.92166667,0.14435557,0.675,,non_positive_worst_horizon_train_sortino|extreme_turnover,HOLD_TRAIN_REWARD,,challenger_repair/round1_scheduler_controlled,,,,0.92166667,0.675,1
phase3cp_02324,c17a68376722d7e7ad968e4c,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,rx_range_location::inverted,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,medium_turnover,9c8cf1cfcb57186b19,d2eb9a12a7d32788b5,8d3063e36b08,0.25030781,0.04248756,0.04248756,0.55948259,0.48,close|high|low,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10)))))",-0.00928323,0.2259237,0.2259237,0.10365488,0.2135265,0.10413497,0.11471016,0.93166667,0.79319602,-0.29439392,0.005,0.19527522,0.71333333,,extreme_turnover,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.005,0.71333333,4
phase3cp_03020,82d30a9f2fe5715cd3f2cc20,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_range_location::rx_opening_amount::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,5bf739a7738953bc8e,2133a82ff173a6ecf7,004ec264b341,0.22951173,0.03640692,0.03640692,0.55096969,0.42,close|high|low|m1_first15_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Div($m1_first15_vol,Add(Abs($volume),0.000001)))))",-0.07660486,0.1783714,0.1783714,-0.0129652,0.07557647,0.1459258,0.0503121,0.84166667,0.79204034,-0.45135239,0.01166667,-0.07432571,0.34833333,,non_positive_worst_horizon_train_sortino|extreme_turnover,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.01166667,0.34833333,4
phase3cp_02323,40d0c61f06fc8f8c8ebe806f,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,rx_range_location::inverted,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,medium_turnover,9c8cf1cfcb57186b19,d2eb9a12a7d32788b5,8d3063e36b08,0.25521787,0.04392346,0.04392346,0.56149285,0.48,close|high|low,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8)))))",-0.09179396,0.14105474,0.14105474,0.03507118,0.15377255,0.11071173,0.0347297,0.83,0.79678374,-0.27611223,0.02166667,0.13350489,0.64833333,,extreme_turnover,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.02166667,0.64833333,4
phase3cp_02987,0cfef44533a7d9423614c32a,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_range_location::rx_opening_amount::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6ace37bd35f0fab316,1d5c220e77d0c0ecd6,4ccb0eead839,0.23032992,0.03664623,0.03664623,0.55130472,0.42,close|high|low|m1_first30_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),20))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-0.10617108,0.16965715,0.16965715,-0.12094899,0.13242988,0.14312574,0.0420737,0.83166667,0.78688001,-0.2081677,0.19666667,-0.12445923,0.33166667,,non_positive_worst_horizon_train_sortino|extreme_turnover,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.19666667,0.33166667,6
phase3cp_02814,ec863ef0d92e2511dc42146b,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,cem_atom::rx_intraday_return::inverted,generic_price_volume,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,medium_turnover,07783260642050c4f3,7c904c244c708a80d9,40245005e11b,0.24385484,0.04060078,0.04060078,0.55684109,0.48,close,"Neg(CSRank(ZScore(Delta(Div(Sub($close,Delay($close,1)),Add(Abs(Delay($close,1)),0.000001)),10))))",-0.1845718,0.13737191,0.13737191,-0.36842068,0.16245435,0.29705509,0.02767545,0.81333333,0.78140836,-0.36444946,0.01333333,-0.35352323,0.03666667,,non_positive_worst_horizon_train_sortino|extreme_turnover,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.01333333,0.03666667,6
phase3cp_01599,914c0714c4023931750d4ac3,search_outputs,low_turnover_repair/round1_scheduler_controlled,low_turnover_repair,phase3cw2-turnover-aware,phase3cp_low_turnover_repair_from_co,phase3cp_low_turnover_repair_from_co,turnover_aware_interaction::rx_range_location::coverage_guarded_context::slow_spread,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,low_turnover,ecb91925a1b4540e73,25a10688bacf2caa67,3ce2ec210356,0.23501015,0.03801456,0.03801456,0.55322038,0.34,close|ctx_ths_hot_last_price|high|low,"CSRank(Sub(Delay(Mean(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))),15),2),Mean(CSRank(ValidRatioGate($ctx_ths_hot_last_price,60,0.8)),30)))",-0.23316845,-0.12292055,-0.12292055,-0.49500088,-0.10489045,0.22832751,-0.20905964,0.19,0.42461272,-0.56354214,0,-0.31242449,0.095,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,low_turnover_repair/round1_scheduler_controlled,,,,0.0,0.095,4
