candidate_id,expression,source_lane,factor_lane,field,field_category,typed_primitive,official_book_eligible,canary_only,typed_gate_decision,typed_gate_reason,blocked_fields,blocked_primitives,required_rewrite,registry_version,entry_lineage,materialization_stage,candidate_role,input_typed_gate_decision,g2_input_gate_decision,g2_input_gate_reason
v2cand-245d50c0bcb4,"CSRank(EventCount($limit_up_any_close_not_open_in_t10,5))",phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t10,sparse_event,EventCount,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
v2cand-bf13250b88b6,CSRank(EventAge($limit_up_any_close_not_open_in_t10)),phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t10,sparse_event,EventAge,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
v2cand-51a9637c6d3c,"CSRank(EventCount($limit_up_any_close_not_open_in_t2,5))",phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t2,sparse_event,EventCount,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
v2cand-15ee7e6c01e6,CSRank(EventAge($limit_up_any_close_not_open_in_t2)),phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t2,sparse_event,EventAge,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
v2cand-ac501ed47456,"CSRank(EventCount($limit_up_any_close_not_open_in_t3,5))",phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t3,sparse_event,EventCount,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
v2cand-73f5318c6137,CSRank(EventAge($limit_up_any_close_not_open_in_t3)),phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t3,sparse_event,EventAge,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
v2cand-6bd2b1333e79,"CSRank(EventCount($limit_up_any_close_not_open_in_t4,5))",phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t4,sparse_event,EventCount,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
v2cand-5f502afadf2b,CSRank(EventAge($limit_up_any_close_not_open_in_t4)),phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t4,sparse_event,EventAge,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
v2cand-6b4108ff8a00,"CSRank(EventCount($limit_up_any_close_not_open_in_t5,5))",phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t5,sparse_event,EventCount,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
v2cand-760cb6ba650c,CSRank(EventAge($limit_up_any_close_not_open_in_t5)),phase3ce2_typed_primitive_canary,event_state,limit_up_any_close_not_open_in_t5,sparse_event,EventAge,False,True,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce2_typed_primitive_canary,g2_selector_input_canary,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
